department,role,age,years_at_company,monthly_salary,education,performance_rating
Engineering,Senior Engineer,32,5.2,35000,Master,A
Product,Product Manager,29,3.5,28000,Bachelor,B
Engineering,Senior Architect,41,8.7,58000,Master,A
Design,UI Designer,26,2.1,18000,Bachelor,B
Marketing,Marketing Manager,34,6.3,25000,Master,A
Engineering,Engineer,25,1.2,18000,Bachelor,C
HR,HR Supervisor,38,9.5,22000,Bachelor,B
Operations,Operations Manager,31,4.8,26000,Bachelor,B
Engineering,Frontend Engineer,27,2.9,22000,Bachelor,B
Sales,Sales Director,45,12.3,65000,Bachelor,A
Design,Senior Designer,33,6.8,32000,Master,A
Engineering,Algorithm Engineer,28,3.2,38000,PhD,A
Finance,Finance Manager,36,8.1,30000,Master,B
Engineering,Engineer,24,0.8,15000,Bachelor,C
Product,Senior Product Manager,35,7.4,42000,Master,A
IT Operations,IT Operations Supervisor,33,5.9,28000,Bachelor,B
Marketing,Marketing Specialist,25,1.5,12000,Bachelor,C
Engineering,Technical Director,43,11.2,72000,Master,A
HR,HR Specialist,24,1.1,10000,Bachelor,C
Operations,Operations Specialist,26,2.3,15000,Bachelor,B
Design,Visual Designer,28,3.7,22000,Bachelor,B
Engineering,Engineer,30,4.2,26000,Master,B
Sales,Sales Manager,32,5.5,35000,Bachelor,A
Engineering,DevOps Engineer,29,3.8,30000,Bachelor,B
Product,Product Assistant,23,0.6,8000,Bachelor,C
Engineering,Senior Engineer,37,8.9,48000,Master,A
Marketing,Brand Manager,33,6.2,28000,Master,A
Finance,Finance Specialist,26,2.4,12000,Bachelor,B
Design,UI Designer,27,2.8,20000,Bachelor,B
Engineering,Engineer,31,4.5,28000,Master,B
HR,HR Manager,39,10.1,35000,Master,A
Sales,Sales Specialist,25,1.8,12000,Bachelor,C
Operations,Operations Director,42,11.5,58000,Master,A
Engineering,QA Engineer,28,3.1,20000,Bachelor,B
Product,Product Manager,30,4.0,26000,Master,B
Marketing,Marketing Supervisor,34,6.5,28000,Bachelor,B
Engineering,Security Engineer,35,7.2,42000,Master,A
Finance,Accountant,29,3.5,16000,Bachelor,B
Engineering,Engineer,26,1.9,19000,Bachelor,C
Design,Design Director,40,10.8,50000,Master,A
